Data;Dias_num;Infectados;Mortes;Recuperados
25/02;1;0;0;0
26/02;2;1;0;0
27/02;3;1;0;0
28/02;4;1;0;0
29/02;5;2;0;0
01/03;6;2;0;0
02/03;7;2;0;0
03/03;8;2;0;0
04/03;9;3;0;0
05/03;10;7;0;0
06/03;11;13;0;0
07/03;12;19;0;0
08/03;13;25;0;0
09/03;14;25;0;0
10/03;15;34;0;0
11/03;16;52;0;0
12/03;17;77;0;0
13/03;18;98;0;0
14/03;19;121;0;0
15/03;20;200;0;0
16/03;21;234;0;0
17/03;22;291;1;0
18/03;23;428;4;0
19/03;24;621;6;0
20/03;25;904;11;0
21/03;26;1128;18;0
22/03;27;1546;25;0
23/03;28;1891;34;0
24/03;29;2201;46;0
25/03;30;2433;57;0
26/03;31;2915;77;0
27/03;32;3417;92;0
28/03;33;3903;114;0
29/03;34;4256;136;0
30/03;35;4579;159;0
31/03;36;5717;201;0
01/04;37;6834;241;0
02/04;38;7910;299;0
03/04;39;9056;359;0
04/04;40;10278;432;0
05/04;41;11130;486;0
06/04;42;12056;553;0
07/04;43;13717;667;0
08/04;44;15927;800;0
09/04;45;17857;941;0
10/04;46;19638;1056;0
11/04;47;20727;1124;0
12/04;48;22169;1223;0
13/04;49;23430;1328;0
14/04;50;25262;1532;0
15/04;51;28320;1736;0
16/04;52;30425;1924;0
17/04;53;33682;2141;0
18/04;54;36599;2347;0
19/04;55;38654;2462;22130
20/04;56;40581;2575;22991
21/04;57;43079;2741;24325
22/04;58;45757;2906;25318
23/04;59;49492;3313;26573
24/04;60;52995;3670;27655
25/04;61;58509;4016;29160
26/04;62;61888;4205;30152
27/04;63;66501;4543;31142
28/04;64;71886;5017;32544
29/04;65;78162;5466;34132
30/04;66;85380;5901;35935
01/05;67;91299;6329;38039
02/05;68;96396;6724;40937
03/05;69;101147;7025;42991
04/05;70;107780;7321;45186
05/05;71;114715;7921;48221
06/05;72;125218;8535;51370
07/05;73;135106;9146;55350
08/05;74;145328;9895;59297
09/05;75;155939;10627;61685
10/05;76;162699;11123;64957
11/05;77;168331;11519;67384
12/05;78;177589;12400;72597
13/05;79;188974;13149;78424
14/05;80;202918;13993;79479
15/05;81;218223;14817;84970
16/05;82;233142;15633;89672
17/05;83;241080;16118;94122
18/05;84;254220;16792;100459
19/05;85;271628;17971;106794
20/05;86;291579;18859;116683
21/05;87;310087;20047;125960
22/05;88;330890;21046;135430
23/05;89;347398;22013;142587
24/05;90;363211;22666;149911
25/05;91;374898;23473;153833
26/05;92;391222;24512;158593
27/05;93;411821;25598;166647
28/05;94;438238;26754;177604
29/05;95;465166;27878;189476
30/05;96;498440;28834;200892
31/05;97;514200;29314;206555
01/06;98;526447;29937;211080
02/06;99;555383;31199;223638
03/06;100;584016;32548;238617
04/06;101;614941;34021;254963
05/06;102;645771;35026;266940
06/06;103;672846;35930;277149
07/06;104;691758;36455;283952
08/06;105;707412;37134;290040
09/06;106;739503;38406;311064
10/06;107;772416;39680;325395
11/06;108;802828;40919;345595
12/06;109;828810;41828;365063
13/06;110;850514;42720;379245
14/06;111;867624;43332;388492
