Ano;Populacao
1550;15000
1576;17100
1583;57000
1600;100000
1660;184000
1690;242000
1700;300000
1800;3250000
1808;4051000
1810;4000000
1815;2860525
1823;5025000
1850;8000000
1869;10415000
1872;9930478
1890;14333915
1900;17438434
1920;30635605
1940;41236315
1950;51944397
1951;54790134
1952;56455157
1953;58179020
1954;59946025
1955;61747383
1956;63581429
1957;65453618
1958;67375687
1959;69363982
1960;70992343
1961;73600237
1962;75857219
1963;78188001
1964;80560128
1965;82940932
1966;85312524
1967;87674333
1968;90033344
1969;92399378
1970;94508583
1971;97192327
1972;99623296
1973;102082589
1974;104583531
1975;107138779
1976;109753674
1977;112426265
1978;115154310
1979;117936799
1980;121150573
1981;123653552
1982;126581070
1983;129534547
1984;132482444
1985;135393490
1986;138250534
1987;141051059
1988;143793974
1989;146476142
1990;149097480
1991;151654998
1992;154147931
1993;156595615
1994;159036364
1995;161507781
1996;164029105
1997;166598495
1998;169205159
1999;171834774
2000;169590693
2001;177102919
2002;179732494
2003;182336466
2004;184871851
2005;187297802
2006;189588741
2007;191741381
2008;193777109
2009;195735497
2010;190755799
2011;199565896
2012;201459584
2013;203330481
2014;205168638
2015;206962713
2016;208846074
2017;210746573
2018;212664367
2019;214599613
2020;216552469
